# energy dos
-2.978470000000000084e+01 0.000000000000000000e+00
-2.977189999999999870e+01 0.000000000000000000e+00
-2.975919999999999987e+01 0.000000000000000000e+00
-2.974640000000000128e+01 0.000000000000000000e+00
-2.973369999999999891e+01 0.000000000000000000e+00
-2.972090000000000032e+01 0.000000000000000000e+00
-2.970820000000000149e+01 0.000000000000000000e+00
-2.969539999999999935e+01 0.000000000000000000e+00
-2.968270000000000053e+01 0.000000000000000000e+00
-2.966989999999999839e+01 0.000000000000000000e+00
-2.965709999999999980e+01 0.000000000000000000e+00
-2.964440000000000097e+01 0.000000000000000000e+00
-2.963159999999999883e+01 0.000000000000000000e+00
-2.961890000000000001e+01 0.000000000000000000e+00
-2.960610000000000142e+01 0.000000000000000000e+00
-2.959339999999999904e+01 0.000000000000000000e+00
-2.958060000000000045e+01 0.000000000000000000e+00
-2.956790000000000163e+01 0.000000000000000000e+00
-2.955509999999999948e+01 0.000000000000000000e+00
-2.954240000000000066e+01 0.000000000000000000e+00
-2.952959999999999852e+01 0.000000000000000000e+00
-2.951689999999999969e+01 0.000000000000000000e+00
-2.950410000000000110e+01 0.000000000000000000e+00
-2.949139999999999873e+01 0.000000000000000000e+00
-2.947860000000000014e+01 0.000000000000000000e+00
-2.946580000000000155e+01 0.000000000000000000e+00
-2.945309999999999917e+01 0.000000000000000000e+00
-2.944030000000000058e+01 0.000000000000000000e+00
-2.942760000000000176e+01 0.000000000000000000e+00
-2.941479999999999961e+01 0.000000000000000000e+00
-2.940210000000000079e+01 0.000000000000000000e+00
-2.938929999999999865e+01 0.000000000000000000e+00
-2.937659999999999982e+01 0.000000000000000000e+00
-2.936380000000000123e+01 0.000000000000000000e+00
-2.935109999999999886e+01 0.000000000000000000e+00
-2.933830000000000027e+01 0.000000000000000000e+00
-2.932560000000000144e+01 0.000000000000000000e+00
-2.931279999999999930e+01 0.000000000000000000e+00
-2.930010000000000048e+01 0.000000000000000000e+00
-2.928729999999999833e+01 0.000000000000000000e+00
-2.927449999999999974e+01 0.000000000000000000e+00
-2.926180000000000092e+01 0.000000000000000000e+00
-2.924899999999999878e+01 0.000000000000000000e+00
-2.923629999999999995e+01 0.000000000000000000e+00
-2.922350000000000136e+01 0.000000000000000000e+00
-2.921079999999999899e+01 0.000000000000000000e+00
-2.919800000000000040e+01 0.000000000000000000e+00
-2.918530000000000157e+01 0.000000000000000000e+00
-2.917249999999999943e+01 0.000000000000000000e+00
-2.915980000000000061e+01 0.000000000000000000e+00
-2.914699999999999847e+01 0.000000000000000000e+00
-2.913429999999999964e+01 0.000000000000000000e+00
